id,user,transaction_date,sales_amount,join_date,region,,
47614,619,2016-01-14,14.56,2009-04-22,I,,
47615,662,2016-01-14,20.14,2010-07-30,M,,
47616,813,2016-01-14,31.07,2011-01-16,M,,
47617,310,2016-01-14,33.08,2010-11-14,M,,
47618,1802,2016-01-14,10.97,2011-05-23,B,,
47619,1603,2016-01-14,20.40,2013-05-16,I,,
47620,2673,2016-01-14,21.31,2016-01-14,I,,
47621,676,2016-01-14,13.02,2011-01-07,J,,
47622,3279,2016-01-14,14.34,2016-01-14,C,,
47623,629,2016-01-14,5.48,2013-07-02,N,,
47624,3418,2016-01-14,8.60,2016-01-14,B,,
47625,2310,2016-01-14,39.38,2013-07-01,B,,
47626,2025,2016-01-14,21.36,2013-05-22,C,,
47627,629,2016-01-14,7.93,2013-07-02,N,,
47628,2959,2016-01-14,26.47,2013-07-02,C,,
47629,2310,2016-01-14,7.36,2013-07-01,B,,
47630,4331,2016-01-14,80.97,2013-07-02,S,,
47631,4954,2016-01-14,26.64,2014-03-21,D,,
47632,4781,2016-01-14,18.77,2013-07-25,I,,
47633,5281,2016-01-14,40.22,2014-01-09,H,,
47634,3591,2016-01-14,56.12,2013-08-20,A,,
47635,4470,2016-01-14,24.51,2014-03-21,K,,
47636,4245,2016-01-14,163.00,2013-09-17,O,,
47637,5175,2016-01-14,33.68,2013-12-03,F,,
47638,6791,2016-01-14,34.01,2014-12-07,C,,
47639,7547,2016-01-14,65.41,2014-03-21,C,,
47640,6708,2016-01-14,38.69,2015-11-06,U,,
47641,6950,2016-01-14,42.85,2014-05-17,G,,
47642,3912,2016-01-14,14.34,2013-09-17,P,,
47643,6257,2016-01-14,34.30,2011-08-21,H,,
47644,306,2016-01-15,54.76,2008-12-12,E,,
47645,489,2016-01-15,53.20,2009-05-14,L,,
47646,37,2016-01-15,20.48,2001-01-01,B,,
47647,2,2016-01-15,27.04,2004-06-29,B,,
47648,322,2016-01-15,49.10,2010-12-21,M,,
47649,604,2016-01-15,17.95,2010-02-27,N,,
47650,495,2016-01-15,6.48,2010-10-02,J,,
47651,619,2016-01-15,6.89,2009-04-22,I,,
47652,2813,2016-01-15,83.67,2015-02-28,L,,
47653,3344,2016-01-15,80.29,2015-08-04,C,,
47654,1516,2016-01-15,2.45,2015-09-18,B,,
